"Actual","Predicted","nPredictions"
"neg","neg","3521"
"neg","neu","1452"
"neg","pos","367"
"neu","neg","1309"
"neu","neu","3818"
"neu","pos","504"
"pos","neg","755"
"pos","neu","1173"
"pos","pos","3547"
"neg","neg","3504"
"neg","neu","1323"
"neg","pos","524"
"neu","neg","1329"
"neu","neu","3622"
"neu","pos","568"
"pos","neg","862"
"pos","neu","975"
"pos","pos","3739"
"neg","neg","3920"
"neg","neu","634"
"neg","pos","823"
"neu","neg","1726"
"neu","neu","2617"
"neu","pos","1202"
"pos","neg","814"
"pos","neu","350"
"pos","pos","4360"
"neg","neg","3074"
"neg","neu","1802"
"neg","pos","559"
"neu","neg","849"
"neu","neu","4002"
"neu","pos","617"
"pos","neg","550"
"pos","neu","1134"
"pos","pos","3859"
"neg","neg","3917"
"neg","neu","1097"
"neg","pos","333"
"neu","neg","1599"
"neu","neu","3535"
"neu","pos","457"
"pos","neg","1152"
"pos","neu","949"
"pos","pos","3407"
"neg","neg","3633"
"neg","neu","755"
"neg","pos","925"
"neu","neg","1424"
"neu","neu","2668"
"neu","pos","1453"
"pos","neg","749"
"pos","neu","344"
"pos","pos","4495"
"neg","neg","2993"
"neg","neu","1595"
"neg","pos","787"
"neu","neg","915"
"neu","neu","3514"
"neu","pos","1049"
"pos","neg","532"
"pos","neu","741"
"pos","pos","4320"
"neg","neg","3990"
"neg","neu","681"
"neg","pos","627"
"neu","neg","1811"
"neu","neu","2858"
"neu","pos","943"
"pos","neg","1006"
"pos","neu","417"
"pos","pos","4113"
"neg","neg","3347"
"neg","neu","1057"
"neg","pos","900"
"neu","neg","1206"
"neu","neu","3184"
"neu","pos","1107"
"pos","neg","610"
"pos","neu","590"
"pos","pos","4445"
"neg","neg","2905"
"neg","neu","1532"
"neg","pos","903"
"neu","neg","842"
"neu","neu","3698"
"neu","pos","1013"
"pos","neg","432"
"pos","neu","823"
"pos","pos","4298"
"neg","neg","2635"
"neg","neu","1905"
"neg","pos","802"
"neu","neg","684"
"neu","neu","4003"
"neu","pos","835"
"pos","neg","520"
"pos","neu","1106"
"pos","pos","3956"
"neg","neg","3111"
"neg","neu","1342"
"neg","pos","857"
"neu","neg","967"
"neu","neu","3541"
"neu","pos","1068"
"pos","neg","559"
"pos","neu","679"
"pos","pos","4322"
"neg","neg","3740"
"neg","neu","771"
"neg","pos","834"
"neu","neg","1442"
"neu","neu","2835"
"neu","pos","1273"
"pos","neg","715"
"pos","neu","426"
"pos","pos","4410"
"neg","neg","3644"
"neg","neu","1203"
"neg","pos","515"
"neu","neg","1304"
"neu","neu","3419"
"neu","pos","735"
"pos","neg","797"
"pos","neu","789"
"pos","pos","4040"
"neg","neg","3280"
"neg","neu","1195"
"neg","pos","814"
"neu","neg","1039"
"neu","neu","3451"
"neu","pos","1148"
"pos","neg","540"
"pos","neu","650"
"pos","pos","4329"
"neg","neg","3073"
"neg","neu","1484"
"neg","pos","806"
"neu","neg","913"
"neu","neu","3681"
"neu","pos","988"
"pos","neg","470"
"pos","neu","824"
"pos","pos","4207"
"neg","neg","3851"
"neg","neu","892"
"neg","pos","675"
"neu","neg","1527"
"neu","neu","2994"
"neu","pos","945"
"pos","neg","929"
"pos","neu","602"
"pos","pos","4031"
"neg","neg","4128"
"neg","neu","847"
"neg","pos","399"
"neu","neg","1681"
"neu","neu","3214"
"neu","pos","610"
"pos","neg","1106"
"pos","neu","749"
"pos","pos","3712"
