"Actual","Predicted","nPredictions"
"neg","neg","3840"
"neg","neu","1053"
"neg","pos","394"
"neu","neg","1158"
"neu","neu","3817"
"neu","pos","600"
"pos","neg","686"
"pos","neu","699"
"pos","pos","4199"
"neg","neg","3444"
"neg","neu","1334"
"neg","pos","617"
"neu","neg","863"
"neu","neu","3850"
"neu","pos","772"
"pos","neg","402"
"pos","neu","711"
"pos","pos","4453"
"neg","neg","3075"
"neg","neu","1578"
"neg","pos","710"
"neu","neg","753"
"neu","neu","3985"
"neu","pos","804"
"pos","neg","376"
"pos","neu","906"
"pos","pos","4259"
"neg","neg","4000"
"neg","neu","878"
"neg","pos","420"
"neu","neg","1439"
"neu","neu","3470"
"neu","pos","670"
"pos","neg","823"
"pos","neu","585"
"pos","pos","4161"
"neg","neg","3801"
"neg","neu","903"
"neg","pos","604"
"neu","neg","1255"
"neu","neu","3390"
"neu","pos","942"
"pos","neg","529"
"pos","neu","473"
"pos","pos","4549"
"neg","neg","3486"
"neg","neu","1326"
"neg","pos","521"
"neu","neg","1012"
"neu","neu","3751"
"neu","pos","786"
"pos","neg","618"
"pos","neu","765"
"pos","pos","4181"
"neg","neg","3536"
"neg","neu","1035"
"neg","pos","732"
"neu","neg","1020"
"neu","neu","3375"
"neu","pos","1145"
"pos","neg","448"
"pos","neu","487"
"pos","pos","4668"
"neg","neg","3611"
"neg","neu","1206"
"neg","pos","488"
"neu","neg","1033"
"neu","neu","3842"
"neu","pos","703"
"pos","neg","487"
"pos","neu","755"
"pos","pos","4321"
"neg","neg","3522"
"neg","neu","1528"
"neg","pos","381"
"neu","neg","928"
"neu","neu","4014"
"neu","pos","567"
"pos","neg","536"
"pos","neu","988"
"pos","pos","3982"
"neg","neg","3858"
"neg","neu","1091"
"neg","pos","495"
"neu","neg","1186"
"neu","neu","3595"
"neu","pos","672"
"pos","neg","728"
"pos","neu","612"
"pos","pos","4209"
"neg","neg","4022"
"neg","neu","861"
"neg","pos","522"
"neu","neg","1358"
"neu","neu","3383"
"neu","pos","704"
"pos","neg","686"
"pos","neu","557"
"pos","pos","4353"
"neg","neg","4550"
"neg","neu","773"
"neg","pos","196"
"neu","neg","1979"
"neu","neu","3147"
"neu","pos","364"
"pos","neg","1066"
"pos","neu","995"
"pos","pos","3376"
"neg","neg","3635"
"neg","neu","956"
"neg","pos","686"
"neu","neg","1115"
"neu","neu","3366"
"neu","pos","1059"
"pos","neg","567"
"pos","neu","479"
"pos","pos","4583"
"neg","neg","3681"
"neg","neu","1049"
"neg","pos","588"
"neu","neg","1129"
"neu","neu","3741"
"neu","pos","703"
"pos","neg","545"
"pos","neu","660"
"pos","pos","4350"
"neg","neg","3792"
"neg","neu","550"
"neg","pos","889"
"neu","neg","1273"
"neu","neu","2782"
"neu","pos","1586"
"pos","neg","563"
"pos","neu","210"
"pos","pos","4801"
"neg","neg","3681"
"neg","neu","970"
"neg","pos","641"
"neu","neg","1173"
"neu","neu","3443"
"neu","pos","966"
"pos","neg","523"
"pos","neu","568"
"pos","pos","4481"
"neg","neg","4267"
"neg","neu","667"
"neg","pos","419"
"neu","neg","1864"
"neu","neu","3008"
"neu","pos","665"
"pos","neg","886"
"pos","neu","491"
"pos","pos","4179"
"neg","neg","3666"
"neg","neu","1378"
"neg","pos","346"
"neu","neg","1001"
"neu","neu","4051"
"neu","pos","483"
"pos","neg","563"
"pos","neu","1019"
"pos","pos","3939"
