"Actual","Predicted","nPredictions"
"neg","neg","4116"
"neg","neu","872"
"neg","pos","365"
"neu","neg","1111"
"neu","neu","3903"
"neu","pos","548"
"pos","neg","484"
"pos","neu","529"
"pos","pos","4518"
"neg","neg","4011"
"neg","neu","895"
"neg","pos","394"
"neu","neg","1083"
"neu","neu","3868"
"neu","pos","560"
"pos","neg","511"
"pos","neu","556"
"pos","pos","4568"
"neg","neg","4005"
"neg","neu","891"
"neg","pos","391"
"neu","neg","1139"
"neu","neu","3875"
"neu","pos","568"
"pos","neg","501"
"pos","neu","480"
"pos","pos","4596"
"neg","neg","4036"
"neg","neu","956"
"neg","pos","380"
"neu","neg","1069"
"neu","neu","3900"
"neu","pos","547"
"pos","neg","489"
"pos","neu","492"
"pos","pos","4577"
"neg","neg","4056"
"neg","neu","883"
"neg","pos","388"
"neu","neg","1150"
"neu","neu","3928"
"neu","pos","512"
"pos","neg","488"
"pos","neu","465"
"pos","pos","4576"
"neg","neg","4092"
"neg","neu","897"
"neg","pos","364"
"neu","neg","1131"
"neu","neu","3893"
"neu","pos","574"
"pos","neg","492"
"pos","neu","543"
"pos","pos","4460"
"neg","neg","4128"
"neg","neu","867"
"neg","pos","350"
"neu","neg","1125"
"neu","neu","3900"
"neu","pos","563"
"pos","neg","478"
"pos","neu","539"
"pos","pos","4496"
"neg","neg","4159"
"neg","neu","880"
"neg","pos","385"
"neu","neg","1114"
"neu","neu","3850"
"neu","pos","558"
"pos","neg","506"
"pos","neu","498"
"pos","pos","4496"
"neg","neg","4078"
"neg","neu","910"
"neg","pos","410"
"neu","neg","1115"
"neu","neu","3870"
"neu","pos","518"
"pos","neg","439"
"pos","neu","538"
"pos","pos","4568"
"neg","neg","4113"
"neg","neu","890"
"neg","pos","380"
"neu","neg","1112"
"neu","neu","3934"
"neu","pos","492"
"pos","neg","517"
"pos","neu","546"
"pos","pos","4462"
"neg","neg","4075"
"neg","neu","903"
"neg","pos","382"
"neu","neg","1098"
"neu","neu","3888"
"neu","pos","544"
"pos","neg","514"
"pos","neu","503"
"pos","pos","4539"
"neg","neg","3949"
"neg","neu","947"
"neg","pos","386"
"neu","neg","1114"
"neu","neu","3857"
"neu","pos","599"
"pos","neg","509"
"pos","neu","557"
"pos","pos","4528"
"neg","neg","4054"
"neg","neu","943"
"neg","pos","358"
"neu","neg","1128"
"neu","neu","3922"
"neu","pos","551"
"pos","neg","553"
"pos","neu","518"
"pos","pos","4419"
"neg","neg","4043"
"neg","neu","934"
"neg","pos","429"
"neu","neg","1055"
"neu","neu","3833"
"neu","pos","543"
"pos","neg","461"
"pos","neu","509"
"pos","pos","4639"
"neg","neg","4010"
"neg","neu","916"
"neg","pos","354"
"neu","neg","1117"
"neu","neu","3860"
"neu","pos","547"
"pos","neg","506"
"pos","neu","535"
"pos","pos","4601"
"neg","neg","4087"
"neg","neu","894"
"neg","pos","395"
"neu","neg","1114"
"neu","neu","3864"
"neu","pos","514"
"pos","neg","480"
"pos","neu","498"
"pos","pos","4600"
"neg","neg","4093"
"neg","neu","883"
"neg","pos","341"
"neu","neg","1160"
"neu","neu","3903"
"neu","pos","557"
"pos","neg","512"
"pos","neu","514"
"pos","pos","4483"
"neg","neg","4096"
"neg","neu","954"
"neg","pos","358"
"neu","neg","1106"
"neu","neu","3831"
"neu","pos","567"
"pos","neg","451"
"pos","neu","534"
"pos","pos","4549"
"neg","neg","4058"
"neg","neu","949"
"neg","pos","368"
"neu","neg","1115"
"neu","neu","3864"
"neu","pos","563"
"pos","neg","492"
"pos","neu","525"
"pos","pos","4512"
"neg","neg","4091"
"neg","neu","909"
"neg","pos","369"
"neu","neg","1095"
"neu","neu","3843"
"neu","pos","577"
"pos","neg","512"
"pos","neu","530"
"pos","pos","4520"
